Accession,Description,MW_kDa,Area_G1,Area_G2,Area_G3,PSM_G1,PSM_G2,PSM_G3,NormPSM_G1,NormPSM_G2,NormPSM_G3,AVERAGE_NormPSM,Functional_Category,Motif_Category
Asa5G06128.1,[translated],148.3,169606999.34375,162858244.0625,228581820.8125,88.0,80.0,88.0,94.57753017641596,79.49022715266773,82.77418346616659,85.61398026508341,Other,Structural/Other
Asa5G05302.1,[translated] | NR=PREDICTED: protein FAM9A-like [Phoenix dactylifera]; Swissprot=Heat shock 70 kDa protein OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=hsps-1 PE=2 SV=2; IPRSCAN=NULL NULL NULL NULL,21.0,2505463489.625,3187998044.0625,3692485600.75,77.0,85.0,95.0,82.75533890436397,84.45836634970945,89.35849351461164,85.52406625622837,Anti-stress/HSP,Chaperone/HSP
Asa0G04635.1,[translated] | GO=Molecular Function: calcium ion binding (GO:0005509); NR=PREDICTED: probable serine/threonine protein phosphatase 2A regulatory subunit B''delta-like [Oryza brachyantha]; Swissprot=Serine/threonine protein phosphatase 2A regulatory subunit B''beta OS=Arabidopsis thaliana GN=B''BETA PE=1 SV=1; KEGG=probable serine/threonine protein phosphatase 2A regulatory subunit B''delta-like; K11583 serine/threonine-protein phosphatase 2A regulatory subunit B'' (A); IPRSCAN=NULL NULL IPR002048 EF-hand domain,97.2,73819741.140625,88959705.5625,100168020.53125,80.0,84.0,84.0,85.97957288765089,83.4647385103011,79.01172058134082,82.81867732643094,Other,Signaling/Hub
Asa8G01973.1,[translated],65.7,128002986.15625,144883007.28125,197792968.65625,69.0,64.0,73.0,74.15738161559888,63.59218172213418,68.66494764807001,68.80483699526769,Other,Structural/Other
Asa7G06018.1,[translated] | NR=PREDICTED: uncharacterized protein LOC103709675 [Phoenix dactylifera],62.6,208248688.453125,259409848.265625,276605155.851563,65.0,69.0,70.0,69.85840297121634,68.56032091917591,65.84310048445069,68.08727479161432,Other,Structural/Other
Asa6G04009.1,"[translated] | GO=Molecular Function: magnesium ion binding (GO:0000287),Molecular Function: pyruvate kinase activity (GO:0004743),Biological Process: glycolysis (GO:0006096),Molecular Function: potassium ion binding (GO:0030955); NR=PREDICTED: pyruvate kinase, cytosolic isozyme [Phoenix dactylifera]; Swissprot=Pyruvate kinase, cytosolic isozyme OS=Solanum tuberosum PE=2 SV=1; KEGG=pyruvate kinase, cytosolic isozyme; K00873 pyruvate kinase [EC:2.7.1.40] (A); IPRSCAN=NULL NULL IPR001697 Pyruvate kinase IPR015793 Pyruvate kinase, barrel",64.8,179219282.46875,221579658.0,258447698.4375,66.0,66.0,70.0,70.93314763231197,65.57943740095087,65.84310048445069,67.45189517257118,Other,Signaling/Hub
Asa6G01722.1,[translated] | NR=Arrestin domain-containing protein A [Morus notabilis],91.5,35270493.265625,43443130.375,49356664.15625,66.0,68.0,67.0,70.93314763231197,67.56669307976756,63.02125332083138,67.17369801097031,Other,Structural/Other
Asa1G05058.1,[translated],54.4,20017383.0,18756964.0,28448660.5,61.0,63.0,62.0,65.55942432683379,62.59855388272582,58.31817471479919,62.15871764145294,Other,Structural/Other
Asa5G05144.1,"[translated] | GO=Molecular Function: manganese ion binding (GO:0030145),Molecular Function: nutrient reservoir activity (GO:0045735); NR=PREDICTED: putative germin-like protein 2-1 [Phoenix dactylifera]; Swissprot=Putative germin-like protein 2-1 OS=Oryza sativa subsp. japonica GN=Os02g0491600 PE=3 SV=1; KEGG=uncharacterized LOC101250545; K11426 SET and MYND domain-containing protein (A); IPRSCAN=IPR001929 Germin IPR001929 Germin IPR001929 Germin NULL NULL NULL NULL IPR006045 Cupin 1 IPR006045 Cupin 1",54.3,4060147.0,3820263.75,5471352.0,59.0,61.0,60.0,63.40993500464252,60.61129820390914,56.43694327238631,60.15272549364599,Other,Signaling/Hub
Asa5G04112.1,[translated] | NR=thaumatin-like cytokinin-binding protein [Brassica oleracea]; Swissprot=Osmotin-like protein OS=Solanum lycopersicum PE=1 SV=1; IPRSCAN=IPR001938 Thaumatin,41.3,185698143.84375,226291394.5625,218858006.75,56.0,60.0,57.0,60.18570102135561,59.61767036450079,53.61509610876699,57.806155831541126,Other,Signaling/Hub
Asa6G01748.1,"[translated] | GO=Cellular Component: mitochondrial inner membrane presequence translocase complex (GO:0005744),Biological Process: intracellular protein transport (GO:0006886),Molecular Function: P-P-bond-hydrolysis-driven protein transmembrane transporter activity (GO:0015450); NR=PREDICTED: mitochondrial import inner membrane translocase subunit TIM17-2-like [Musa acuminata subsp. malaccensis]; Swissprot=Mitochondrial import inner membrane translocase subunit TIM17-2 OS=Arabidopsis thaliana GN=TIM17-2 PE=1 SV=2; KEGG=mitochondrial import inner membrane translocase subunit TIM17-2-like; K17795 mitochondrial import inner membrane translocase subunit TIM17 (A); IPRSCAN=IPR005678 Mitochondrial inner membrane translocase complex, subunit Tim17 NULL NULL IPR003397 Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24",71.2,10298279.8125,8602341.5,11391496.125,58.0,53.0,61.0,62.33519034354688,52.66227548864236,57.37755899359275,57.458341608594,Transport,Transport/Exosome
Asa6G05029.1,[translated],48.0,64843050.6875,65094493.875,98562054.75,61.0,51.0,59.0,65.55942432683379,50.67501980982568,55.49632755117987,57.24359056261312,Other,Structural/Other
Asa6G02535.1,"[translated] | GO=Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553),Molecular Function: beta-N-acetylhexosaminidase activity (GO:0004563),Biological Process: carbohydrate metabolic process (GO:0005975); NR=PREDICTED: beta-hexosaminidase 2 [Elaeis guineensis]; Swissprot=Beta-hexosaminidase 2 OS=Arabidopsis thaliana GN=HEXO2 PE=1 SV=1; KEGG=beta-hexosaminidase 2; K12373 hexosaminidase [EC:3.2.1.52] (A); IPRSCAN=NULL NULL IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR015883 Glycoside hydrolase family 20, catalytic core NULL NULL",70.7,1786681.375,1190293.125,4349997.375,50.0,50.0,59.0,53.7372330547818,49.68139197041732,55.49632755117987,52.971650858793,Other,Metabolism/Lipase
Asa1G00476.1,[translated] | NR=PREDICTED: uncharacterized protein LOC103961107 [Pyrus x bretschneideri]; IPRSCAN=IPR007650 Protein of unknown function DUF581,51.0,22975436.5,27184716.375,29965350.75,52.0,56.0,49.0,55.88672237697307,55.64315900686741,46.09017033911549,52.54001724098532,Other,Structural/Other
Asa3G05676.1,[translated],113.4,5921430.859375,5566826.5,3825530.96875,50.0,54.0,45.0,53.7372330547818,53.65590332805071,42.32770745428973,49.90694794570741,Other,Structural/Other
Asa1G03711.1,[translated] | GO=Molecular Function: protein binding (GO:0005515); NR=PREDICTED: nuclear pore complex protein Nup214-like [Elaeis guineensis]; Swissprot=Sperm-associated antigen 1A OS=Danio rerio GN=spag1a PE=2 SV=1; KEGG=hypothetical protein; K09553 stress-induced-phosphoprotein 1 (A); IPRSCAN=NULL NULL IPR019734 Tetratricopeptide repeat IPR019734 Tetratricopeptide repeat IPR019734 Tetratricopeptide repeat IPR013026 Tetratricopeptide repeat-containing domain NULL NULL NULL NULL,49.3,76204831.4375,80995433.4375,100564868.625,44.0,52.0,53.0,47.28876508820798,51.66864764923402,49.85263322394124,49.60334865379442,Other,Signaling/Hub
Asa3G04726.1,"[translated] | GO=Molecular Function: oxidoreductase activity (GO:0016491),Biological Process: oxidation-reduction process (GO:0055114); NR=PREDICTED: internal alternative NAD(P)H-ubiquinone oxidoreductase A2, mitochondrial-like [Elaeis guineensis]; Swissprot=Internal alternative NAD(P)H-ubiquinone oxidoreductase A2, mitochondrial OS=Arabidopsis thaliana GN=NDA2 PE=2 SV=1; KEGG=internal alternative NAD(P)H-ubiquinone oxidoreductase A2, mitochondrial-like; K17871 NADH:ubiquinone reductase (non-electrogenic) [EC:1.6.5.9] (A); IPRSCAN=NULL NULL NULL NULL IPR013027 FAD-dependent pyridine nucleotide-disulphide oxidoreductase IPR013027 FAD-dependent pyridine nucleotide-disulphide oxidoreductase IPR013027 FAD-dependent pyridine nucleotide-disulphide oxidoreductase IPR023753 Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain",57.8,93628455.3125,101688402.25,123014941.0625,49.0,52.0,47.0,52.66248839368616,51.66864764923402,44.20893889670261,49.5133583132076,Antioxidant,"Signaling/Hub, Antioxidant/Redox"
Asa0G05863.1,"[translated] | GO=Molecular Function: Rab GTPase activator activity (GO:0005097),Biological Process: regulation of Rab GTPase activity (GO:0032313); NR=PREDICTED: TBC1 domain family member 15-like [Musa acuminata subsp. malaccensis]; Swissprot=TBC1 domain family member 15 OS=Mus musculus GN=Tbc1d15 PE=1 SV=1; KEGG=uncharacterized LOC100831005; K12840 splicing factor 45 (A); IPRSCAN=IPR000195 Rab-GTPase-TBC domain IPR000195 Rab-GTPase-TBC domain IPR000195 Rab-GTPase-TBC domain NULL NULL NULL NULL",52.5,29419168.0,44453816.0,50783720.0,49.0,52.0,45.0,52.66248839368616,51.66864764923402,42.32770745428973,48.88628116573664,Other,Structural/Other
Asa5G06470.1,[translated],38.6,24212543.78125,23499502.5,31244744.625,48.0,47.0,47.0,51.58774373259053,46.70050845219229,44.20893889670261,47.49906369382848,Other,Structural/Other
Asa8G00633.1,"[translated] | GO=Molecular Function: structural constituent of ribosome (GO:0003735),Cellular Component: ribosome (GO:0005840),Biological Process: translation (GO:0006412),Cellular Component: large ribosomal subunit (GO:0015934); NR=ribosomal protein L22, partial (chloroplast) [Elodea canadensis]; Swissprot=50S ribosomal protein L22, chloroplastic OS=Acorus calamus GN=rpl22 PE=3 SV=1; KEGG=rpl22, ElguCp081; 50S ribosomal protein L22; K02890 large subunit ribosomal protein L22 (A); IPRSCAN=IPR005727 Ribosomal protein L22, bacterial/chloroplast-type IPR001063 Ribosomal protein L22/L17",56.2,2568065.0,2645736.75,3769801.25,47.0,44.0,48.0,50.5129990714949,43.71962493396725,45.14955461790905,46.4607262077904,Protein Synthesis,Structural/Other
Asa5G00018.1,[translated] | NR=PREDICTED: uncharacterized protein LOC103701762 isoform X2 [Phoenix dactylifera]; IPRSCAN=NULL NULL IPR026749 Transmembrane protein 135,70.6,2328382.5,2400587.25,2113464.0,46.0,44.0,47.0,49.43825441039925,43.71962493396725,44.20893889670261,45.78893941368971,Other,Structural/Other
Asa5G00679.1,[translated] | NR=BnaA01g03500D [Brassica napus],38.7,8368385.625,8053496.75,11655393.75,43.0,46.0,47.0,46.21402042711235,45.70688061278393,44.20893889670261,45.37661331219963,Other,Structural/Other
Asa8G00639.1,[translated] | NR=PREDICTED: GRIP and coiled-coil domain-containing protein 2-like [Phoenix dactylifera]; KEGG=hypothetical protein; K04437 filamin (A),56.2,1378274.625,1125561.25,2347944.5,46.0,43.0,46.0,49.43825441039925,42.7259970945589,43.26832317549616,45.14419156015144,Other,Structural/Other
Asa1G02772.1,"[translated] | GO=Cellular Component: endoplasmic reticulum (GO:0005783),Biological Process: intracellular protein transport (GO:0006886),Cellular Component: integral to membrane (GO:0016021); NR=PREDICTED: B-cell receptor-associated protein 31-like [Musa acuminata subsp. malaccensis]; KEGG=B-cell receptor-associated protein 31-like; K14009 B-cell receptor-associated protein 31 (A); IPRSCAN=NULL NULL IPR008417 B-cell receptor-associated 31-like",54.5,72495817.0625,77541250.828125,94401537.859375,42.0,48.0,45.0,45.13927576601671,47.69413629160064,42.32770745428973,45.05370650396903,Other,Structural/Other
Asa1G05298.1,[translated],41.1,94207365.3125,85165568.25,83810771.0,45.0,46.0,42.0,48.36350974930362,45.70688061278393,39.50586029067041,44.52541688425265,Other,Structural/Other
Asa7G03432.1,"[translated] | GO=Molecular Function: adenyl nucleotide binding (GO:0030554); NR=hypothetical protein VITISV_021555 [Vitis vinifera]; Swissprot=CBS domain-containing protein CBSX1, chloroplastic OS=Arabidopsis thaliana GN=CBSX1 PE=1 SV=2; IPRSCAN=IPR000644 CBS domain NULL NULL IPR000644 CBS domain IPR000644 CBS domain",68.4,22485516.625,20992417.125,29497993.9375,43.0,45.0,41.0,46.21402042711235,44.71325277337559,38.56524456946398,43.16417258998397,Other,Signaling/Hub
Asa1G01070.1,[translated] | NR=PREDICTED: uncharacterized protein At5g01610 [Amborella trichopoda]; Swissprot=Uncharacterized protein At5g01610 OS=Arabidopsis thaliana GN=At5g01610 PE=1 SV=1; IPRSCAN=NULL NULL,70.9,1360281.875,1113203.875,2104152.25,42.0,42.0,43.0,45.13927576601671,41.73236925515055,40.44647601187685,42.439373677681374,Other,Structural/Other
Asa5G01527.1,[translated] | GO=Molecular Function: protein binding (GO:0005515); NR=PREDICTED: transcription factor GTE10-like [Nelumbo nucifera]; Swissprot=Transcription factor GTE9 OS=Arabidopsis thaliana GN=GTE9 PE=1 SV=1; KEGG=hypothetical protein; K11724 bromodomain testis-specific protein (A); IPRSCAN=IPR001487 Bromodomain IPR001487 Bromodomain IPR001487 Bromodomain IPR001487 Bromodomain IPR001487 Bromodomain NULL NULL NULL NULL IPR001487 Bromodomain IPR001487 Bromodomain IPR027353 NET domain,36.9,96955387.6875,96010560.125,94622447.5625,41.0,47.0,37.0,44.06453110492107,46.70050845219229,34.80278168463823,41.8559404139172,Other,"Signaling/Hub, Transcription Factor"
Asa8G05174.1,[translated] | NR=PREDICTED: uncharacterized protein LOC103936350 [Pyrus x bretschneideri]; Swissprot=Lachrymatory-factor synthase OS=Allium cepa GN=LFS PE=1 SV=1; IPRSCAN=IPR019587 Polyketide cyclase/dehydrase,51.7,78997306.0136719,86130427.25,141502696.375,36.0,41.0,47.0,38.69080779944289,40.7387414157422,44.20893889670261,41.21282937062924,Other,Structural/Other
Asa3G03199.1,"[translated] | GO=Molecular Function: protein dimerization activity (GO:0046983); NR=PREDICTED: transcription factor ILI5-like [Musa acuminata subsp. malaccensis]; Swissprot=Transcription factor ILI5 OS=Oryza sativa subsp. japonica GN=ILI5 PE=1 SV=1; IPRSCAN=IPR011598 Myc-type, basic helix-loop-helix (bHLH) domain IPR011598 Myc-type, basic helix-loop-helix (bHLH) domain",38.6,8675499.75,8949377.25,16336681.5,38.0,41.0,43.0,40.84029712163417,40.7387414157422,40.44647601187685,40.67517151641774,Other,Transcription Factor
Asa2G04848.1,"[translated] | GO=Molecular Function: dihydrolipoyl dehydrogenase activity (GO:0004148),Molecular Function: oxidoreductase activity (GO:0016491),Molecular Function: flavin adenine dinucleotide binding (GO:0050660),Biological Process: oxidation-reduction process (GO:0055114); NR=dihydrolipoamide dehydrogenase family protein [Populus trichocarpa]; Swissprot=Dihydrolipoyl dehydrogenase 2, mitochondrial OS=Arabidopsis thaliana GN=LPD2 PE=1 SV=1; KEGG=POPTRDRAFT_656596; dihydrolipoamide dehydrogenase family protein; K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4] (A); IPRSCAN=IPR006258 Dihydrolipoamide dehydrogenase NULL NULL IPR001327 Pyridine nucleotide-disulphide oxidoreductase, NAD-binding domain",53.1,23007490.21875,25990886.625,40041908.75,40.0,38.0,42.0,42.98978644382544,37.75785789751717,39.50586029067041,40.08450154400434,Antioxidant,"Signaling/Hub, Antioxidant/Redox"
Asa3G06037.1,[translated],35.7,6478265.375,6836627.3125,11972515.75,37.0,41.0,42.0,39.76555246053853,40.7387414157422,39.50586029067041,40.00338472231704,Other,Structural/Other
Asa4G03827.1,"[translated] | NR=PREDICTED: pentatricopeptide repeat-containing protein At4g21065-like [Musa acuminata subsp. malaccensis]; Swissprot=Pentatricopeptide repeat-containing protein At4g21065 OS=Arabidopsis thaliana GN=PCMP-H28 PE=2 SV=2; KEGG=Cell division protein ftsH, putative (EC:3.6.4.3); K03798 cell division protease FtsH [EC:3.4.24.-] (A); IPRSCAN=NULL NULL NULL NULL IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat IPR002885 Pentatricopeptide repeat",35.8,112778044.625,123300295.375,147816041.746094,35.0,37.0,39.0,37.61606313834726,36.76423005810882,36.6840131270511,37.02143544116906,Other,Structural/Other
Asa0G02881.1,"[translated] | GO=Molecular Function: DNA binding (GO:0003677),Molecular Function: DNA-directed RNA polymerase activity (GO:0003899),Biological Process: transcription, DNA-dependent (GO:0006351); NR=RNA polymerase beta subunit [Calathea lutea]; Swissprot=DNA-directed RNA polymerase subunit beta' OS=Lemna minor GN=rpoC1 PE=3 SV=1; KEGG=rpoC1, PhdaC_p012; DNA-directed RNA polymerase beta' chain; K03046 DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (A); IPRSCAN=IPR006592 RNA polymerase, N-terminal IPR007080 RNA polymerase Rpb1, domain 1 IPR000722 RNA polymerase, alpha subunit NULL NULL NULL NULL",44.8,36854495.15625,40987193.0,69304578.78125,34.0,39.0,38.0,36.54131847725162,38.75148573692551,35.74339740584466,37.012067206673926,Other,Signaling/Hub
Asa0G01019.1,[translated] | GO=Molecular Function: methyltransferase activity (GO:0008168); NR=PREDICTED: anthranilate O-methyltransferase 1-like [Elaeis guineensis]; Swissprot=Anthranilate O-methyltransferase 1 OS=Zea mays GN=AAMT1 PE=1 SV=1; KEGG=anthranilate O-methyltransferase 1-like; K08241 jasmonate O-methyltransferase [EC:2.1.1.141] (A); IPRSCAN=IPR005299 SAM dependent carboxyl methyltransferase NULL NULL NULL NULL,93.8,39394212.8828125,42614089.3125,49534655.5625,36.0,36.0,38.0,38.69080779944289,35.77060221870047,35.74339740584466,36.734935807996,Other,Structural/Other
Asa6G02371.1,"[translated] | GO=Molecular Function: microtubule motor activity (GO:0003777),Molecular Function: ATP binding (GO:0005524),Cellular Component: kinesin complex (GO:0005871),Biological Process: microtubule-based movement (GO:0007018),Molecular Function: microtubule binding (GO:0008017); NR=PREDICTED: kinesin-5 isoform X2 [Elaeis guineensis]; Swissprot=Kinesin-5 OS=Arabidopsis thaliana GN=ATK5 PE=2 SV=1; KEGG=kinesin-5; K10405 kinesin family member C1 (A); IPRSCAN=IPR001752 Kinesin, motor domain IPR001752 Kinesin, motor domain NULL NULL IPR027640 Kinesin-like protein IPR001752 Kinesin, motor domain IPR001752 Kinesin, motor domain IPR001752 Kinesin, motor domain IPR001752 Kinesin, motor domain IPR001752 Kinesin, motor domain",48.3,8343457.90625,7940848.90625,11572196.375,38.0,33.0,38.0,40.84029712163417,32.78971870047543,35.74339740584466,36.45780440931809,Other,Signaling/Hub
Asa1G00444.1,"[translated] | GO=Cellular Component: extracellular region (GO:0005576),Biological Process: plant-type cell wall organization (GO:0009664); NR=PREDICTED: expansin-A10 [Phoenix dactylifera]; Swissprot=Expansin-A10 OS=Oryza sativa subsp. japonica GN=EXPA10 PE=2 SV=2; IPRSCAN=IPR007112 Expansin/pollen allergen, DPBB domain IPR007117 Expansin, cellulose-binding-like domain IPR002963 Expansin IPR002963 Expansin IPR002963 Expansin IPR002963 Expansin IPR002963 Expansin IPR002963 Expansin IPR002963 Expansin IPR002963 Expansin IPR002963 Expansin IPR007118 Expansin/Lol pI IPR007118 Expansin/Lol pI IPR007118 Expansin/Lol pI IPR007118 Expansin/Lol pI IPR007118 Expansin/Lol pI IPR007118 Expansin/Lol pI NULL NULL IPR007117 Expansin, cellulose-binding-like domain IPR009009 RlpA-like double-psi beta-barrel domain IPR007112 Expansin/pollen allergen, DPBB domain",29.2,7335678.125,12467628.5,14179873.0,35.0,37.0,37.0,37.61606313834726,36.76423005810882,34.80278168463823,36.3943582936981,Other,Signaling/Hub
Asa2G01286.1,"[translated] | GO=Molecular Function: zinc ion binding (GO:0008270),Molecular Function: oxidoreductase activity (GO:0016491),Biological Process: oxidation-reduction process (GO:0055114); NR=PREDICTED: alcohol dehydrogenase-like 1 isoform X1 [Populus euphratica]; Swissprot=Alcohol dehydrogenase class-3 OS=Oryza sativa subsp. japonica GN=Os02g0815500 PE=2 SV=1; KEGG=alcohol dehydrogenase class-3-like; K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] (A); IPRSCAN=NULL NULL IPR002085 Alcohol dehydrogenase superfamily, zinc-type",41.3,15268340.8125,16877018.125,5650611.625,38.0,38.0,32.0,40.84029712163417,37.75785789751717,30.09970307860603,36.23261936591912,Antioxidant,"Signaling/Hub, Transcription Factor, Antioxidant/Redox"
Asa1G01938.1,[translated] | NR=conserved hypothetical protein [Ricinus communis]; KEGG=DnaK family protein; K03283 heat shock 70kDa protein 1/8 (A),26.5,162507104.34375,181871528.71875,0.0,33.0,36.0,,35.46657381615599,35.77060221870047,-,35.61858801742823,Anti-stress/HSP,Chaperone/HSP
